Date,Open,High,Low,P/E Ratio,Google Trends,Price Change,Closing Price
2015-10-29,40784.04315451686,41646.599758227545,39927.351505948456,23.193024,71,-1.4260027293150064,40083.953125
2015-10-30,40098.8750420337,40466.098913039415,38950.37622398898,23.193024,84,-2.234304719040857,39188.35546875
2015-11-02,39323.03579736624,39323.03579736624,38557.04104168649,23.193024,32,-0.9875980578175177,38801.33203125
2015-11-03,39181.07829862289,39630.61965591385,38950.392602118314,23.193024,0,0.9471928365861313,39168.85546875
2015-11-04,39482.72922376651,39482.72922376651,38349.51081570859,23.193024,100,-1.791432466822582,38467.171875
2015-11-05,38619.16281587504,38619.16281587504,37796.97509472224,23.193024,100,-1.187670574625523,38010.30859375
2015-11-06,37811.74433384906,38337.194985131595,37658.939735446074,23.193024,70,-0.11428848609017352,37966.8671875
2015-11-09,37461.7703918861,38782.740654243986,37200.22731420254,23.193024,0,1.1797395714478847,38414.77734375
2015-11-10,38450.572002382534,38645.73253285336,37484.378141809844,23.193024,0,-2.2093446908604406,37566.0625
2015-11-13,37464.660441914326,37957.616500360564,37244.90217154667,23.193024,67,0.7219885135685966,37837.28515625
2015-11-16,37875.28866327242,38056.15345093418,37267.47391021299,23.193024,42,-0.9385686758008309,37482.15625
2015-11-17,37701.283325492186,39386.20731093324,37597.21952033703,23.193024,46,3.9779032356229505,38973.16015625
2015-11-18,38981.98136920669,39319.60622226852,38253.44233994185,23.193024,0,-1.5126495808563767,38383.6328125
2015-11-19,38595.49997581749,39041.13223343799,38549.16210832156,23.193024,100,1.0298579004519546,38778.9296875
2015-11-20,38795.48273298857,38991.825526202454,38450.55995150056,23.193024,85,0.12416133680842709,38827.078125
2015-11-23,38550.15121323457,39130.85347314084,38522.93849724018,23.193024,0,-0.5268552512281015,38622.515625
2015-11-24,38549.16804066376,38903.84996400466,38304.66180858999,23.193024,0,-0.5636183718936615,38404.83203125
2015-11-26,38647.75958932986,38746.250681060716,37948.994293183496,23.193024,40,-0.7416567556348957,38120.0
2015-11-27,38313.03752588597,39180.14722607039,38313.03752588597,23.193024,53,1.9812536890083947,38875.25390625
2015-11-30,38778.87911951014,39084.26538059544,38263.2471112854,23.193024,0,-1.472840058821963,38302.68359375
2015-12-01,38539.30310029872,38923.26578854586,38056.20618243875,23.193024,0,0.9971661784876162,38684.625
2015-12-02,38783.80592117792,39239.34732708896,38562.025788936306,23.193024,70,0.1131546124590842,38728.3984375
2015-12-03,38549.1641251942,38765.718183174504,38450.572912597796,23.193024,100,-0.33220131787175716,38599.7421875
2015-12-04,38597.46731624954,39214.64820311695,38370.8539117901,23.193024,86,1.2247187531814392,39072.48046875
2015-12-07,39044.58726099228,39165.36150351413,38554.09594952599,23.193024,0,-1.1598136676079263,38619.3125
2015-12-08,38501.98635534273,39127.89420356681,38501.98635534273,23.193024,0,0.11207151862167405,38662.59375
2015-12-09,38652.68409914129,38788.10066732994,38284.93888376112,23.193024,81,-0.43210370488917343,38495.53125
2015-12-10,38494.94287147751,39017.4763513567,38464.37959246571,23.193024,100,1.0177926496338454,38887.3359375
2015-12-11,38748.313936471895,39421.69184137776,38602.8919145486,23.193024,85,-0.0725352626246615,38859.12890625
2015-12-14,38549.16130673515,38844.93492289936,37640.20045890364,23.193024,58,-2.0595224919498385,38058.81640625
2015-12-15,38393.33264868207,38450.465475282566,38056.20083150779,23.193024,0,0.4868800418595519,38244.1171875
2015-12-16,38332.27115481084,38673.49695061469,38069.42538876027,23.193024,99,-0.14948173197389222,38186.94921875
2015-12-17,38292.83661038369,38745.370390099604,38157.02718085021,23.193024,100,1.0620243192951124,38592.50390625
2015-12-18,38588.5889375471,38844.82588108819,38411.42135234674,23.193024,82,0.04848334678012377,38611.21484375
2015-12-21,38437.758066620925,38774.39700940568,38437.758066620925,23.193024,0,0.1278368867691554,38660.57421875
2015-12-22,38660.57045898559,39146.03202751804,38550.14830583723,23.193024,0,-0.09614930908597835,38623.40234375
2015-12-23,38647.74547634696,39042.01009443085,38647.74547634696,23.193024,94,0.28727927763193284,38734.359375
2015-12-24,38556.06707525624,39091.41738138722,38556.06707525624,23.193024,50,0.6408130862497322,38982.57421875
2015-12-28,39027.33041439605,39422.68116584667,39027.33041439605,23.193024,0,0.30386173148879925,39101.02734375
2015-12-29,39140.715560847035,39398.28513113094,39097.38548854942,23.193024,0,0.31556875453739974,39224.41796875
2015-12-30,39239.26015412786,39369.450645842946,39122.23313233385,23.193024,0,0.018742311245655632,39231.76953125
2015-12-31,39378.32418265312,39494.41535895085,38847.95341753101,23.193024,89,0.21398274855568364,39315.71875
2016-01-01,39527.536147513776,40841.06381135477,39315.31855926658,23.193024,83,1.691783184683607,39980.85546875
2016-01-04,39830.84280454078,40173.94016335217,39681.62349032892,23.193024,0,-0.114185510076649,39935.203125
2016-01-05,40028.02990644996,40114.79016831616,39753.74993974858,23.193024,0,0.21577923299970694,40021.375
2016-01-06,40070.413457017596,40619.61639777596,39729.881060343316,23.193024,100,-0.4287943005456459,39849.765625
2016-01-07,39681.98627231785,39681.98627231785,38451.56765650497,23.193024,0,-3.347239730472066,38515.8984375
2016-01-08,38603.400254299944,38914.80222820196,37967.536818337634,23.193024,100,-1.0947995298207822,38094.2265625
2016-01-11,38036.49496208561,38602.901555028024,37529.736060828174,23.193024,54,0.8801879221773476,38429.52734375
2016-01-12,38490.98725131611,38680.825361669966,38154.79128674812,23.193024,0,-0.2635099414421223,38328.26171875
2016-01-13,38457.47517385385,38629.76332179219,37317.26777419322,23.193024,67,-1.111716376877987,37902.16015625
2016-01-14,37808.739283291645,37988.22533311304,37356.40208750422,23.193024,0,-0.6884192884372418,37641.234375
2016-01-15,37760.42964131639,37937.89380151057,36971.70004045339,23.193024,81,-1.2861767700730458,37157.1015625
